district_id,province,district,yuzey_alani_km2,tesvik_bolgesi,kayit_sayisi
TR-61f3e12e02,EDİRNE,ENEZ,455,2.0,365
TR-78eafc512a,EDİRNE,HAVSA,545,2.0,365
TR-1a9cec3161,EDİRNE,KEŞAN,1098,2.0,365
TR-c454275634,EDİRNE,LALAPAŞA,497,2.0,365
TR-eb184129c5,EDİRNE,MERİÇ,438,2.0,365
TR-3f9516e97f,EDİRNE,SÜLOĞLU(SÜLEOĞLU),0,2.0,365
TR-358ae93ebc,EDİRNE,UZUNKÖPRÜ,1185,2.0,365
TR-bd47818690,EDİRNE,İPSALA,741,2.0,365
TR-f38da8d579,ELAZIĞ,ALACAKAYA,318,4.0,365
TR-3489c65bb5,ELAZIĞ,ARICAK,354,4.0,365
TR-625465f466,ELAZIĞ,AĞIN,242,4.0,365
TR-7716d4bc4f,ELAZIĞ,BASKİL,1318,4.0,365
TR-4252858443,ELAZIĞ,ELAZIĞ,0,4.0,365
TR-da91be5181,ELAZIĞ,KARAKOÇAN,1049,4.0,365
TR-8d4ac5c703,ELAZIĞ,KEBAN,641,4.0,365
TR-3224b8ddc3,ELAZIĞ,KOVANCILAR,960,4.0,365
TR-83a3895164,ELAZIĞ,MADEN,819,4.0,365
TR-db313f8c9d,ELAZIĞ,PALU,730,4.0,365
TR-41f5e051e9,ELAZIĞ,SİVRİCE,710,4.0,365
TR-287bafe1ca,ERZURUM,AZİZİYE(ILICA),0,5.0,365
TR-20610c0e3a,ERZURUM,AŞKALE,1507,5.0,365
TR-5908f3143f,ERZURUM,HINIS,1367,5.0,365
TR-322cc94ef1,ERZURUM,HORASAN,1740,5.0,365
TR-83811c8279,ERZURUM,KARAYAZI,1953,5.0,365
TR-fae237ff7c,ERZURUM,KARAÇOBAN,571,5.0,365
TR-cfeb06a8e6,ERZURUM,KÖPRÜKÖY,777,5.0,365
TR-8c454cd8cb,ERZURUM,NARMAN,799,5.0,365
TR-a8ecabe671,ERZURUM,OLTU,1441,5.0,365
TR-fc488ddaab,ERZURUM,OLUR,893,5.0,365
TR-d501e81358,ERZURUM,PALANDÖKEN,667,5.0,365
TR-0e6cfaddc2,ERZURUM,PASİNLER,1134,5.0,365
TR-27d23bf9df,ERZURUM,PAZARYOLU,654,5.0,365
TR-3054383835,ERZURUM,TEKMAN,2102,5.0,365
TR-14e5a878df,ERZURUM,TORTUM,1463,5.0,365
TR-3d9ba1adba,ERZURUM,UZUNDERE,505,5.0,365
TR-c89cc69d33,ERZURUM,YAKUTİYE,945,5.0,365
TR-fe4520de46,ERZURUM,ÇAT,1448,5.0,365
TR-348b09edc8,ERZURUM,İSPİR,2129,5.0,365
TR-7ad696cb99,ERZURUM,ŞENKAYA,1381,5.0,365
TR-4a51e92d2d,ERZİNCAN,ERZİNCAN,0,4.0,365
TR-f7c53186ed,ERZİNCAN,ILIÇ(İLİÇ),0,4.0,365
TR-575586c6a9,ERZİNCAN,KEMAH,2311,4.0,365
TR-4b01a097ea,ERZİNCAN,KEMALİYE,1207,4.0,365
TR-00ed1a524d,ERZİNCAN,OTLUKBELİ,320,4.0,365
TR-cef886c37a,ERZİNCAN,REFAHİYE,1808,4.0,365
TR-1dfb0e2c39,ERZİNCAN,TERCAN,1614,4.0,365
TR-87d86c28e5,ERZİNCAN,ÇAYIRLI,1062,4.0,365
TR-c0fd99066b,ERZİNCAN,ÜZÜMLÜ,591,4.0,365
TR-542f455af2,ESKİŞEHİR,ALPU,1028,1.0,365
TR-90b0abd386,ESKİŞEHİR,BEYLİKOVA,715,1.0,365
TR-5c0ebd6a42,ESKİŞEHİR,GÜNYÜZÜ,828,1.0,365
TR-1bb18ad4e2,ESKİŞEHİR,HAN,378,1.0,365
TR-8da91c6e7e,ESKİŞEHİR,MAHMUDİYE,659,1.0,365
TR-05c52ba081,ESKİŞEHİR,MİHALGAZİ,109,1.0,365
TR-7bc1fdec0d,ESKİŞEHİR,MİHALIÇÇIK,1809,1.0,365
TR-8299560daa,ESKİŞEHİR,ODUNPAZARI,1120,1.0,365
